freq,psd_x,psd_y,psd_z,psd_xyz,zv(99.2),mzv(94.8),ei(91.0),2hump_ei(119.8),3hump_ei(149.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.997,0.996,0.994,0.993,0.992
3.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.990,0.986,0.984,0.983
5.3,1.212e+01,2.003e+02,1.112e+01,2.235e+02,0.989,0.984,0.976,0.974,0.972
7.0,8.636e+00,3.662e+02,9.149e+00,3.840e+02,0.984,0.977,0.964,0.962,0.960
8.8,6.597e+00,3.942e+02,7.254e+00,4.081e+02,0.979,0.968,0.951,0.948,0.946
10.5,5.701e+00,4.786e+02,5.826e+00,4.901e+02,0.972,0.959,0.936,0.933,0.930
12.3,4.942e+00,4.684e+02,5.570e+00,4.789e+02,0.965,0.948,0.920,0.916,0.913
14.0,4.693e+00,4.624e+02,4.898e+00,4.720e+02,0.957,0.937,0.902,0.898,0.895
15.8,4.451e+00,5.283e+02,4.020e+00,5.367e+02,0.949,0.925,0.882,0.878,0.876
17.5,3.920e+00,5.812e+02,3.738e+00,5.888e+02,0.939,0.911,0.862,0.857,0.855
19.3,3.669e+00,6.161e+02,3.686e+00,6.235e+02,0.929,0.897,0.840,0.835,0.833
21.1,3.363e+00,6.461e+02,3.231e+00,6.527e+02,0.919,0.882,0.816,0.812,0.810
22.8,2.757e+00,6.576e+02,2.623e+00,6.630e+02,0.908,0.867,0.792,0.788,0.786
24.6,2.636e+00,6.641e+02,2.370e+00,6.691e+02,0.896,0.850,0.766,0.763,0.762
26.3,2.381e+00,6.890e+02,2.241e+00,6.937e+02,0.883,0.833,0.740,0.737,0.736
28.1,2.425e+00,7.374e+02,2.285e+00,7.421e+02,0.870,0.815,0.713,0.711,0.710
29.8,2.496e+00,7.940e+02,2.414e+00,7.989e+02,0.856,0.796,0.685,0.684,0.683
31.6,2.187e+00,8.426e+02,2.587e+00,8.474e+02,0.842,0.777,0.656,0.656,0.656
33.3,2.118e+00,8.587e+02,2.599e+00,8.634e+02,0.827,0.757,0.627,0.628,0.629
35.1,2.280e+00,8.438e+02,2.298e+00,8.483e+02,0.812,0.736,0.598,0.600,0.601
36.8,2.234e+00,8.593e+02,2.273e+00,8.638e+02,0.795,0.715,0.568,0.571,0.573
38.6,2.271e+00,8.992e+02,2.468e+00,9.040e+02,0.779,0.694,0.538,0.542,0.545
40.4,2.105e+00,8.930e+02,2.738e+00,8.978e+02,0.762,0.672,0.508,0.513,0.517
42.1,2.037e+00,8.708e+02,2.927e+00,8.757e+02,0.744,0.649,0.477,0.485,0.488
43.9,1.893e+00,9.406e+02,3.403e+00,9.459e+02,0.726,0.627,0.447,0.456,0.461
