freq,psd_x,psd_y,psd_z,psd_xyz,zv(62.0),mzv(56.8),ei(74.0),2hump_ei(71.4),3hump_ei(67.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.992,0.992,0.987,0.981
3.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.988,0.982,0.981,0.970,0.954
5.3,6.309e+00,5.677e+00,1.822e+02,1.942e+02,0.980,0.968,0.968,0.947,0.919
7.0,5.318e+00,8.178e+00,3.624e+02,3.759e+02,0.969,0.952,0.952,0.921,0.877
8.8,4.238e+00,1.414e+01,4.894e+02,5.078e+02,0.957,0.933,0.934,0.890,0.830
10.5,3.740e+00,8.576e+00,3.317e+02,3.440e+02,0.943,0.911,0.913,0.856,0.777
12.3,3.179e+00,9.014e+00,2.963e+02,3.085e+02,0.927,0.887,0.890,0.818,0.720
14.0,2.564e+00,4.667e+00,3.851e+02,3.923e+02,0.910,0.861,0.865,0.778,0.661
15.8,2.248e+00,2.222e+00,4.578e+02,4.623e+02,0.891,0.832,0.838,0.735,0.599
17.5,2.145e+00,2.148e+00,4.079e+02,4.122e+02,0.870,0.802,0.809,0.690,0.536
19.3,1.973e+00,2.396e+00,4.703e+02,4.747e+02,0.848,0.770,0.779,0.643,0.474
21.1,2.773e+00,2.706e+00,5.068e+02,5.123e+02,0.824,0.736,0.747,0.596,0.413
22.8,3.589e+00,3.165e+00,5.221e+02,5.289e+02,0.799,0.700,0.713,0.548,0.353
24.6,2.995e+00,2.663e+00,5.371e+02,5.427e+02,0.772,0.664,0.679,0.499,0.297
26.3,3.168e+00,2.412e+00,5.635e+02,5.691e+02,0.744,0.626,0.643,0.451,0.245
28.1,2.733e+00,2.026e+00,5.814e+02,5.861e+02,0.715,0.587,0.607,0.404,0.197
29.8,1.930e+00,2.214e+00,5.985e+02,6.026e+02,0.684,0.548,0.571,0.358,0.153
31.6,1.961e+00,3.185e+00,6.426e+02,6.477e+02,0.653,0.508,0.534,0.313,0.116
33.3,2.635e+00,2.979e+00,6.276e+02,6.332e+02,0.620,0.468,0.497,0.271,0.085
35.1,3.263e+00,1.705e+00,6.339e+02,6.389e+02,0.587,0.428,0.459,0.231,0.060
